Zipcode,Area,Population,Population_ME,Median Age,Household Income,Per Capita Income,Income over $75K*,% of Pop Income $75+,Poverty Count,Poverty Rate,Time to work (don't use),Worked outside home,Drive to work,Public transit to work,Biked to work,Walked to work,Worked at home,Drive to work -%  total pop,Public transit to work -%  total pop,Biked to work -% total pop,Walked to work -% total pop,Worked at home  - % total pop,% Transiting  to work (any form),Drive to work - % commuters,Public transit to work -% commuters,Biked to work - % commuters,Walked to work - % commuters,Pop Under 5 years,Pop 5-9 years,Pop 10-14 years,Pop 15-17 years,Pop 18-19 years,Pop 20 years,Pop 21 years,Pop 22-24 years,Pop 25-29 years,Pop 30-34 years,Pop 35-39 years,Pop 40-44 years,Pop 45-49 years,Pop 50-54 years,Pop 55-59 years,Pop 60-61 years,Pop 62-64 years,Pop 65-66 years,Pop 67-69 years,Pop 70-74 years,Pop 75-79 years,Pop 80-84 years,Pop 85 years plus,Pop 0-9,Pop 10-19,Pop 20-29,Pop 30-39,Pop 40-49,Pop 50-59,Pop 60-69,Pop 70+
60604,(Chicago),619.00,141.00,44.60," $150,125.00 "," $127,054.00 ", 283.00 ,0.46,100.00,0.16,,43.00,59.00,72.00,0.00,236.00,27.00,0.10,0.12,0.00,0.38,0.04,0.59,0.16,0.20,0.00,0.64,24.00,0.00,6.00,13.00,0.00,15.00,5.00,71.00,78.00,72.00,12.00,17.00,43.00,35.00,54.00,17.00,97.00,8.00,17.00,25.00,10.00,0.00,0.00,0.04,0.03,0.27,0.14,0.10,0.14,0.22,0.06
60603,(Chicago),1029.00,220.00,26.30," $140,500.00 "," $103,458.00 ", 367.00 ,0.36,226.00,0.22,,73.00,150.00,66.00,0.00,345.00,24.00,0.15,0.06,0.00,0.34,0.02,0.55,0.27,0.12,0.00,0.61,10.00,17.00,23.00,0.00,173.00,155.00,27.00,52.00,150.00,36.00,38.00,29.00,79.00,21.00,98.00,24.00,19.00,8.00,30.00,40.00,0.00,0.00,0.00,0.03,0.19,0.37,0.07,0.10,0.12,0.08,0.04
60606,(Chicago),3011.00,352.00,33.00," $119,973.00 "," $102,998.00 "," 1,423.00 ",0.47,169.00,0.06,,482.00,618.00,381.00,11.00,943.00,311.00,0.21,0.13,0.00,0.31,0.10,0.65,0.32,0.20,0.01,0.48,203.00,0.00,0.00,0.00,0.00,0.00,0.00,146.00,694.00,660.00,221.00,317.00,142.00,64.00,99.00,57.00,47.00,105.00,168.00,88.00,0.00,0.00,0.00,0.07,0.00,0.28,0.29,0.15,0.05,0.13,0.03
60601,(Chicago),13695.00,1282.00,38.30," $103,735.00 "," $91,679.00 "," 4,775.00 ",0.35,1543.00,0.11,,1968.00,1822.00,1424.00,123.00,3591.00,866.00,0.13,0.10,0.01,0.26,0.06,0.51,0.26,0.20,0.02,0.52,621.00,188.00,58.00,90.00,735.00,193.00,53.00,613.00,2180.00,1514.00,725.00,1269.00,683.00,977.00,985.00,448.00,563.00,178.00,363.00,412.00,447.00,302.00,98.00,0.06,0.06,0.22,0.16,0.14,0.14,0.11,0.09
60661,(Chicago),9343.00,711.00,31.40," $101,829.00 "," $79,971.00 "," 4,168.00 ",0.45,1273.00,0.14,,1542.00,1817.00,1247.00,17.00,3286.00,342.00,0.19,0.13,0.00,0.35,0.04,0.68,0.29,0.20,0.00,0.52,429.00,66.00,51.00,53.00,83.00,26.00,88.00,965.00,2289.00,2027.00,1388.00,602.00,406.00,200.00,250.00,83.00,133.00,47.00,114.00,33.00,10.00,0.00,0.00,0.05,0.02,0.36,0.37,0.11,0.05,0.04,0.00
60605,(Chicago),26623.00,1524.00,32.80," $99,725.00 "," $71,825.00 "," 8,823.00 ",0.33,2892.00,0.11,456910.00,3645.00,6574.00,4341.00,469.00,3929.00,1134.00,0.25,0.16,0.02,0.15,0.04,0.58,0.43,0.28,0.03,0.26,1099.00,659.00,500.00,238.00,1925.00,413.00,396.00,1756.00,3725.00,4275.00,2328.00,1891.00,1471.00,1262.00,1397.00,675.00,500.00,322.00,512.00,692.00,441.00,128.00,18.00,0.07,0.10,0.24,0.25,0.13,0.10,0.08,0.05
60614,(Chicago),69817.00,1375.00,30.10," $94,640.00 "," $71,659.00 "," 20,542.00 ",0.29,6822.00,0.10,1307195.00,8058.00,17587.00,19670.00,1081.00,3053.00,3020.00,0.25,0.28,0.02,0.04,0.04,0.59,0.42,0.48,0.03,0.07,4146.00,2514.00,2044.00,1069.00,2549.00,1407.00,975.00,6206.00,13816.00,9051.00,4819.00,3645.00,3514.00,2650.00,2957.00,1089.00,1445.00,958.00,1111.00,1515.00,1092.00,678.00,567.00,0.10,0.08,0.32,0.20,0.10,0.08,0.07,0.06
60654,(Chicago),17328.00,814.00,32.40," $93,848.00 "," $92,695.00 "," 7,502.00 ",0.43,1558.00,0.09,301530.00,2447.00,3428.00,1794.00,130.00,5833.00,1244.00,0.20,0.10,0.01,0.34,0.07,0.65,0.31,0.16,0.01,0.52,860.00,235.00,104.00,18.00,46.00,9.00,227.00,1017.00,3950.00,3630.00,1654.00,1739.00,738.00,895.00,803.00,343.00,408.00,71.00,183.00,215.00,86.00,72.00,25.00,0.06,0.01,0.30,0.30,0.14,0.10,0.06,0.02
60611,(Chicago),31563.00,1267.00,38.90," $92,545.00 "," $105,593.00 "," 12,941.00 ",0.41,2482.00,0.08,450010.00,3129.00,5413.00,3963.00,275.00,6977.00,1401.00,0.17,0.13,0.01,0.22,0.04,0.53,0.33,0.24,0.02,0.42,997.00,231.00,364.00,155.00,364.00,225.00,160.00,1732.00,4882.00,4694.00,2348.00,1250.00,1630.00,1953.00,2323.00,714.00,1254.00,937.00,1161.00,1651.00,1009.00,739.00,790.00,0.04,0.03,0.22,0.22,0.09,0.14,0.13,0.13
60655,(Chicago),28741.00,694.00,37.90," $91,102.00 "," $36,921.00 "," 5,564.00 ",0.19,939.00,0.03,459025.00,4924.00,12262.00,1045.00,15.00,370.00,298.00,0.43,0.04,0.00,0.01,0.01,0.48,0.90,0.08,0.00,0.03,2163.00,1663.00,1958.00,1427.00,790.00,487.00,339.00,979.00,1814.00,1606.00,1957.00,2193.00,1748.00,2535.00,1912.00,728.00,1122.00,429.00,595.00,977.00,483.00,394.00,442.00,0.13,0.15,0.13,0.12,0.14,0.15,0.10,0.08
