STOP_ID,DIRECTION_ID,STOP_NAME,LON,LAT,STATION_NAME,STATION_DESCRIPTIVE_NAME,PARENT_STOP_ID,ADA,Red,Blue,Brn,G,P,Pexp,Y,Pink,Org
30162,W,"18th (54th/Cermak-bound)",-87.669147000000000000000000000000,41.857908000000000000000000000000,18th,"18th (Pink Line)",40830,1,0,0,0,0,0,0,0,1,0
30161,E,"18th (Loop-bound)",-87.669147000000000000000000000000,41.857908000000000000000000000000,18th,"18th (Pink Line)",40830,1,0,0,0,0,0,0,0,1,0
30022,N,"35th/Archer (Loop-bound)",-87.680622000000000000000000000000,41.829353000000000000000000000000,35th/Archer,"35th/Archer (Orange Line)",40120,1,0,0,0,0,0,0,0,0,1
30023,S,"35th/Archer (Midway-bound)",-87.680622000000000000000000000000,41.829353000000000000000000000000,35th/Archer,"35th/Archer (Orange Line)",40120,1,0,0,0,0,0,0,0,0,1
30214,S,"35-Bronzeville-IIT (63rd-bound)",-87.625826000000000000000000000000,41.831677000000000000000000000000,35th-Bronzeville-IIT,"35th-Bronzeville-IIT (Green Line)",41120,1,0,0,0,1,0,0,0,0,0
30213,N,"35-Bronzeville-IIT (Harlem-bound)",-87.625826000000000000000000000000,41.831677000000000000000000000000,35th-Bronzeville-IIT,"35th-Bronzeville-IIT (Green Line)",41120,1,0,0,0,1,0,0,0,0,0
30246,S,"43rd (63rd-bound)",-87.619021000000000000000000000000,41.816462000000000000000000000000,43rd,"43rd (Green Line)",41270,1,0,0,0,1,0,0,0,0,0
30245,N,"43rd (Harlem-bound)",-87.619021000000000000000000000000,41.816462000000000000000000000000,43rd,"43rd (Green Line)",41270,1,0,0,0,1,0,0,0,0,0
30210,S,"47th (63rd-bound) Elevated (63rd-bound)",-87.618826000000000000000000000000,41.809209000000000000000000000000,47th,"47th (Green Line)",41080,1,0,0,0,1,0,0,0,0,0
30209,N,"47th (SB) Elevated (Harlem-bound)",-87.618826000000000000000000000000,41.809209000000000000000000000000,47th,"47th (Green Line)",41080,1,0,0,0,1,0,0,0,0,0
30238,S,"47th-Dan Ryan (95th-bound)",-87.630940000000000000000000000000,41.810318000000000000000000000000,47th,"47th (Red Line)",41230,1,1,0,0,0,0,0,0,0,0
30237,N,"47th-Dan Ryan (Howard-bound)",-87.630940000000000000000000000000,41.810318000000000000000000000000,47th,"47th (Red Line)",41230,1,1,0,0,0,0,0,0,0,0
30025,S,"51st (63rd-bound)",-87.618487000000000000000000000000,41.802090000000000000000000000000,51st,"51st (Green Line)",40130,1,0,0,0,1,0,0,0,0,0
30024,N,"51st (Harlem-bound)",-87.618487000000000000000000000000,41.802090000000000000000000000000,51st,"51st (Green Line)",40130,1,0,0,0,1,0,0,0,0,0
30113,E,"54th/Cermak (Loop-bound)",-87.756692010000000000000000000000,41.851773310000000000000000000000,54th/Cermak,"54th/Cermak (Pink Line)",40580,1,0,0,0,0,0,0,0,1,0
30114,W,"54th/Cermak (Terminal arrival)",-87.756692010000000000000000000000,41.851773310000000000000000000000,54th/Cermak,"54th/Cermak (Pink Line)",40580,1,0,0,0,0,0,0,0,1,0
30178,S,"63rd-Dan Ryan (95th-bound)",-87.630952000000000000000000000000,41.780536000000000000000000000000,63rd,"63rd (Red Line)",40910,0,1,0,0,0,0,0,0,0,0
30177,N,"63rd-Dan Ryan (Howard-bound)",-87.630952000000000000000000000000,41.780536000000000000000000000000,63rd,"63rd (Red Line)",40910,0,1,0,0,0,0,0,0,0,0
30192,S,"69th (95th-bound)",-87.625724000000000000000000000000,41.768367000000000000000000000000,69th,"69th (Red Line)",40990,1,1,0,0,0,0,0,0,0,0
30191,N,"69th (Howard-bound)",-87.625724000000000000000000000000,41.768367000000000000000000000000,69th,"69th (Red Line)",40990,1,1,0,0,0,0,0,0,0,0
30047,S,"79th (95th-bound)",-87.625112000000000000000000000000,41.750419000000000000000000000000,79th,"79th (Red Line)",40240,1,1,0,0,0,0,0,0,0,0
30046,N,"79th (Howard-bound)",-87.625112000000000000000000000000,41.750419000000000000000000000000,79th,"79th (Red Line)",40240,1,1,0,0,0,0,0,0,0,0
30276,S,"87th (95th-bound)",-87.624717000000000000000000000000,41.735372000000000000000000000000,87th,"87th (Red Line)",41430,0,1,0,0,0,0,0,0,0,0
30275,N,"87th (Howard-bound)",-87.624717000000000000000000000000,41.735372000000000000000000000000,87th,"87th (Red Line)",41430,0,1,0,0,0,0,0,0,0,0
30089,S,"95th/Dan Ryan (95th-bound)",-87.624342000000000000000000000000,41.722377000000000000000000000000,"95th/Dan Ryan","95th/Dan Ryan (Red Line)",40450,1,1,0,0,0,0,0,0,0,0
30088,N,"95th/Dan Ryan (Howard-bound)",-87.624342000000000000000000000000,41.722377000000000000000000000000,"95th/Ran Ryan","95th/Ran Ryan (Red Line)",40450,1,1,0,0,0,0,0,0,0,0
30132,S,"Adams/Wabash (Inner Loop)",-87.626037000000000000000000000000,41.879507000000000000000000000000,Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,0,0,0,0,1,0,1,0,1,1
30131,N,"Adams/Wabash (Outer Loop)",-87.626037000000000000000000000000,41.879507000000000000000000000000,Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,0,0,0,1,1,0,0,0,0,0
30240,S,"Addison (O'Hare Branch) (Forest Pk-bound)",-87.719060000000000000000000000000,41.947380000000000000000000000000,Addison,"Addison (Blue Line)",41240,0,0,1,0,0,0,0,0,0,0
30239,N,"Addison (O'Hare Branch) (O'Hare-bound)",-87.719060000000000000000000000000,41.947380000000000000000000000000,Addison,"Addison (Blue Line)",41240,0,0,1,0,0,0,0,0,0,0
30277,N,"Addison (Kimball-bound)",-87.674642000000000000000000000000,41.947028000000000000000000000000,Addison,"Addison (Brown Line)",41440,1,0,0,1,0,0,0,0,0,0
30278,S,"Addison (Loop-bound)",-87.674642000000000000000000000000,41.947028000000000000000000000000,Addison,"Addison (Brown Line)",41440,1,0,0,1,0,0,0,0,0,0
