,Unnamed: 0_x,ZipCode,HousingUnits,Population_x,Households,Families,MedianAge,MedianHouseholdIncome,MedianHomeValue,Unnamed: 0_y,Unnamed: 0.1,zipcode,walkscore,transitscore,bikescore,ZIP,LAT,LNG,Zipcode,Area,Population_y,Population_ME,Median Age,Household Income,Per Capita Income,Income over $75K*,% of Pop Income $75+,Poverty Count,Poverty Rate,Time to work (don't use),Worked outside home,Drive to work,Public transit to work,Biked to work,Walked to work,Worked at home,Drive to work -%  total pop,Public transit to work -%  total pop,Biked to work -% total pop,Walked to work -% total pop,Worked at home  - % total pop,% Transiting  to work (any form),Drive to work - % commuters,Public transit to work -% commuters,Biked to work - % commuters,Walked to work - % commuters,Pop Under 5 years,Pop 5-9 years,Pop 10-14 years,Pop 15-17 years,Pop 18-19 years,Pop 20 years,Pop 21 years,Pop 22-24 years,Pop 25-29 years,Pop 30-34 years,Pop 35-39 years,Pop 40-44 years,Pop 45-49 years,Pop 50-54 years,Pop 55-59 years,Pop 60-61 years,Pop 62-64 years,Pop 65-66 years,Pop 67-69 years,Pop 70-74 years,Pop 75-79 years,Pop 80-84 years,Pop 85 years plus,Pop 0-9,Pop 10-19,Pop 20-29,Pop 30-39,Pop 40-49,Pop 50-59,Pop 60-69,Pop 70+,household_size
0,0,60601,39837.0,69283.0,36483.0,11773.0,38.1,53846.0,291335.0,0.0,0.0,60601.0,95.0,100.0,84.0,60601.0,41.88531,-87.622116,60601.0,(Chicago),13695.0,1282.0,38.3,103735.0,91679.0,4775.0,0.35,1543.0,0.11,,1968.0,1822.0,1424.0,123.0,3591.0,866.0,0.13,0.1,0.01,0.26,0.06,0.51,0.26,0.2,0.02,0.52,621.0,188.0,58.0,90.0,735.0,193.0,53.0,613.0,2180.0,1514.0,725.0,1269.0,683.0,977.0,985.0,448.0,563.0,178.0,363.0,412.0,447.0,302.0,98.0,0.06,0.06,0.22,0.16,0.14,0.14,0.11,0.09,1.899048872077406
1,1,60602,11257.0,21344.0,10582.0,3906.0,34.1,82834.0,390663.0,1.0,1.0,60602.0,93.0,100.0,86.0,60602.0,41.883073,-87.629149,60602.0,(Chicago),1252.0,423.0,26.3,85313.0,49803.0,449.0,0.36,32.0,0.03,,19.0,99.0,113.0,0.0,604.0,52.0,0.08,0.09,0.0,0.48,0.04,0.65,0.12,0.14,0.0,0.74,49.0,30.0,30.0,1.0,128.0,45.0,21.0,131.0,257.0,200.0,43.0,132.0,56.0,52.0,56.0,0.0,3.0,5.0,0.0,4.0,5.0,4.0,0.0,0.06,0.13,0.36,0.19,0.15,0.09,0.01,0.01,2.017010017010017
2,2,60603,20121.0,49333.0,16940.0,11128.0,35.1,27447.0,193626.0,2.0,2.0,60603.0,98.0,100.0,87.0,60603.0,41.880188,-87.625509,60603.0,(Chicago),1029.0,220.0,26.3,140500.0,103458.0,367.0,0.36,226.0,0.22,,73.0,150.0,66.0,0.0,345.0,24.0,0.15,0.06,0.0,0.34,0.02,0.55,0.27,0.12,0.0,0.61,10.0,17.0,23.0,0.0,173.0,155.0,27.0,52.0,150.0,36.0,38.0,29.0,79.0,21.0,98.0,24.0,19.0,8.0,30.0,40.0,0.0,0.0,0.0,0.03,0.19,0.37,0.07,0.1,0.12,0.08,0.04,2.912219598583235
3,3,60605,6004.0,14354.0,5654.0,3515.0,36.5,48332.0,175132.0,4.0,4.0,60605.0,71.0,91.0,91.0,60605.0,41.867566,-87.617228,60605.0,(Chicago),26623.0,1524.0,32.8,99725.0,71825.0,8823.0,0.33,2892.0,0.11,456910.0,3645.0,6574.0,4341.0,469.0,3929.0,1134.0,0.25,0.16,0.02,0.15,0.04,0.58,0.43,0.28,0.03,0.26,1099.0,659.0,500.0,238.0,1925.0,413.0,396.0,1756.0,3725.0,4275.0,2328.0,1891.0,1471.0,1262.0,1397.0,675.0,500.0,322.0,512.0,692.0,441.0,128.0,18.0,0.07,0.1,0.24,0.25,0.13,0.1,0.08,0.05,2.538733639900955
4,4,60606,43988.0,71331.0,40641.0,10371.0,32.4,89069.0,436891.0,5.0,5.0,60606.0,97.0,100.0,87.0,60606.0,41.882066,-87.637349,60606.0,(Chicago),3011.0,352.0,33.0,119973.0,102998.0,1423.0,0.47,169.0,0.06,,482.0,618.0,381.0,11.0,943.0,311.0,0.21,0.13,0.0,0.31,0.1,0.65,0.32,0.2,0.01,0.48,203.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,694.0,660.0,221.0,317.0,142.0,64.0,99.0,57.0,47.0,105.0,168.0,88.0,0.0,0.0,0.0,0.07,0.0,0.28,0.29,0.15,0.05,0.13,0.03,1.7551487414187643
5,5,60607,30157.0,49068.0,27761.0,7520.0,33.1,77317.0,335808.0,6.0,6.0,60607.0,88.0,89.0,88.0,60607.0,41.87493,-87.651596,60607.0,(Chicago),28377.0,1181.0,30.5,86476.0,53324.0,7667.0,0.27,5525.0,0.19,444225.0,3408.0,6640.0,4770.0,534.0,4211.0,908.0,0.23,0.17,0.02,0.15,0.03,0.57,0.41,0.3,0.03,0.26,1418.0,906.0,382.0,318.0,1816.0,1135.0,1048.0,2279.0,4415.0,4147.0,3159.0,1794.0,1224.0,884.0,1194.0,332.0,352.0,269.0,312.0,352.0,306.0,268.0,67.0,0.08,0.09,0.31,0.26,0.11,0.07,0.04,0.03,1.7675155794099635
6,6,60608,37817.0,66866.0,34686.0,10377.0,31.7,101853.0,607649.0,7.0,7.0,60608.0,65.0,67.0,66.0,60608.0,41.84688,-87.670664,60608.0,(Chicago),78072.0,1725.0,31.6,37574.0,18539.0,3659.0,0.05,18671.0,0.24,970300.0,6215.0,18368.0,9068.0,1149.0,1762.0,914.0,0.24,0.12,0.01,0.02,0.01,0.39,0.61,0.3,0.04,0.06,4623.0,4588.0,4577.0,2347.0,2291.0,1516.0,1591.0,4941.0,9657.0,7742.0,5922.0,5248.0,4469.0,4375.0,4204.0,1342.0,1866.0,1251.0,1165.0,1751.0,1061.0,707.0,838.0,0.12,0.12,0.23,0.18,0.12,0.11,0.07,0.06,1.9277518307097965
7,7,60609,816.0,709.0,447.0,142.0,24.4,97932.0,567623.0,8.0,8.0,60609.0,51.0,57.0,56.0,60609.0,41.81268,-87.656935,60609.0,(Chicago),62250.0,1913.0,31.6,32721.0,15577.0,1923.0,0.03,19143.0,0.31,716905.0,5171.0,16328.0,5076.0,159.0,1240.0,473.0,0.26,0.08,0.0,0.02,0.01,0.37,0.72,0.22,0.01,0.05,4825.0,4920.0,4654.0,2955.0,1854.0,929.0,1128.0,3333.0,4893.0,4704.0,4414.0,3732.0,3709.0,3912.0,3620.0,1267.0,1537.0,980.0,1267.0,1463.0,882.0,782.0,490.0,0.16,0.15,0.17,0.15,0.12,0.12,0.08,0.06,1.5861297539149888
8,8,60610,32173.0,62565.0,26369.0,15092.0,42.0,36520.0,165677.0,9.0,9.0,60610.0,98.0,88.0,82.0,60610.0,41.906772,-87.632231,60610.0,(Chicago),38438.0,1347.0,34.1,77094.0,77829.0,12684.0,0.33,5925.0,0.15,609735.0,3819.0,7629.0,7928.0,504.0,4726.0,2114.0,0.2,0.21,0.01,0.12,0.05,0.54,0.37,0.38,0.02,0.23,1476.0,1044.0,723.0,362.0,667.0,316.0,517.0,2276.0,6961.0,5582.0,2377.0,2095.0,1890.0,1825.0,1557.0,843.0,1562.0,667.0,1380.0,1956.0,1023.0,899.0,440.0,0.07,0.05,0.26,0.21,0.1,0.09,0.12,0.11,2.3726724562933748
9,9,60611,13237.0,40990.0,12487.0,9694.0,34.9,65746.0,182489.0,10.0,10.0,60611.0,85.0,,81.0,60611.0,41.8957,-87.613775,60611.0,(Chicago),31563.0,1267.0,38.9,92545.0,105593.0,12941.0,0.41,2482.0,0.08,450010.0,3129.0,5413.0,3963.0,275.0,6977.0,1401.0,0.17,0.13,0.01,0.22,0.04,0.53,0.33,0.24,0.02,0.42,997.0,231.0,364.0,155.0,364.0,225.0,160.0,1732.0,4882.0,4694.0,2348.0,1250.0,1630.0,1953.0,2323.0,714.0,1254.0,937.0,1161.0,1651.0,1009.0,739.0,790.0,0.04,0.03,0.22,0.22,0.09,0.14,0.13,0.13,3.282613918475214
